order_date,store_id,canonical_product_id,canonical_product_name,store_name,city,state,region,store_type,latitude,longitude,order_count,units_sold,net_sales,temperature_2m_max_c,temperature_2m_min_c,precipitation_sum_mm,source
2026-07-12,S001,P1003,CreekRambler 2P Camp Chair 202,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,3,1346.94,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1007,HearthRambler Stormproof Jacket 206,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,2,202.36,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1013,FieldRunner Packable Jacket 212,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,4,311.64,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1017,SummitRunner Mini Battery Pack 216,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,3,174.51,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1018,RidgeRover Trail Tumbler 217,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,2,3,391.08,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1024,CanyonNomad Travel Tumbler 223,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,2,181.18,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1027,BoulderRambler 2P Camp Chair 226,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,1,87.43,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1028,CloudNomad Compact Cooler 227,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,3,1942.56,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1029,FieldRunner Storm Kit Battery Pack 228,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,1,125.93,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1031,MoonRambler Stormproof Jacket 230,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,4,659.4,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1037,EmberRunner Packable Jacket 236,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,1,91.75,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1054,TrailRover 20oz Tumbler 253,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,1,70.68,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1056,CanyonNomad Waterproof Trail Shoes 255,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,1,115.21,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1060,CloudNomad 32oz Tumbler 259,Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,3,440.01,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1074,Unknown product (P1074),Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,1,153.36,26.7,20.8,17.1,open-meteo
2026-07-12,S001,P1075,Unknown product (P1075),Rocky Top Outfitters - Knoxville,Knoxville,TN,Southeast,flagship,35.9606,-83.9207,1,3,421.32,26.7,20.8,17.1,open-meteo
2026-07-12,S002,P1023,HearthRambler Expedition Flashlight 222,Rocky Top Outfitters - Miami,Miami,FL,Southeast,urban,25.7617,-80.1918,1,1,141.44,33.1,28.7,0.4,open-meteo
2026-07-12,S002,P1034,RidgeRover Deluxe Patio Heater 233,Rocky Top Outfitters - Miami,Miami,FL,Southeast,urban,25.7617,-80.1918,1,4,675.44,33.1,28.7,0.4,open-meteo
2026-07-12,S002,P1036,StormNomad 32oz Tumbler 235,Rocky Top Outfitters - Miami,Miami,FL,Southeast,urban,25.7617,-80.1918,1,1,149.83,33.1,28.7,0.4,open-meteo
2026-07-12,S002,P1039,HearthRambler Ultralight Camp Chair 238,Rocky Top Outfitters - Miami,Miami,FL,Southeast,urban,25.7617,-80.1918,1,4,1324.24,33.1,28.7,0.4,open-meteo
2026-07-12,S002,P1043,BoulderRambler Alpine Jacket 242,Rocky Top Outfitters - Miami,Miami,FL,Southeast,urban,25.7617,-80.1918,1,1,228.95,33.1,28.7,0.4,open-meteo
2026-07-12,S002,P1048,PeakNomad Travel Tumbler 247,Rocky Top Outfitters - Miami,Miami,FL,Southeast,urban,25.7617,-80.1918,1,1,63.25,33.1,28.7,0.4,open-meteo
2026-07-12,S002,P1049,SummitRunner Lightweight Jacket 248,Rocky Top Outfitters - Miami,Miami,FL,Southeast,urban,25.7617,-80.1918,1,2,399.62,33.1,28.7,0.4,open-meteo
2026-07-12,S003,P1003,CreekRambler 2P Camp Chair 202,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,2,763.26,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1006,TrailRover 20oz Tumbler 205,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,2,3,156.55,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1012,CloudNomad 32oz Tumbler 211,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,1,117.48,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1014,SwitchbackRover Wide Trail Shoes 213,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,3,614.01,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1016,PeakNomad XL Cooler 215,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,2,1077.96,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1018,RidgeRover Trail Tumbler 217,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,2,245.38,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1020,StormNomad Approach Trail Shoes 219,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,1,211.48,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1026,VistaRover Mid Trail Shoes 225,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,1,130.4,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1027,BoulderRambler 2P Camp Chair 226,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,3,276.09,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1029,FieldRunner Storm Kit Battery Pack 228,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,3,321.12,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1031,MoonRambler Stormproof Jacket 230,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,1,164.85,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1035,CreekRambler Rechargeable Flashlight 234,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,1,125.57,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1046,SwitchbackRover Weekend Patio Heater 245,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,3,560.22,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1067,CreekRambler Alpine Jacket 266,Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,2,427.16,27.6,21.2,0.0,open-meteo
2026-07-12,S003,P1071,Unknown product (P1071),Rocky Top Outfitters - Chicago,Chicago,IL,Midwest,urban,41.8781,-87.6298,1,3,429.9,27.6,21.2,0.0,open-meteo
2026-07-12,S004,P1007,HearthRambler Stormproof Jacket 206,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,3,286.68,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1011,BoulderRambler Rechargeable Flashlight 210,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,2,212.92,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1012,CloudNomad 32oz Tumbler 211,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,1,123.66,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1014,SwitchbackRover Wide Trail Shoes 213,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,4,654.96,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1020,StormNomad Approach Trail Shoes 219,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,2,380.66,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1021,EmberRunner Basecamp Tent 220,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,1,73.74,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1032,PeakNomad Waterproof Trail Shoes 231,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,1,155.26,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1042,VistaRover Trail Tumbler 241,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,3,293.88,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1043,BoulderRambler Alpine Jacket 242,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,3,686.85,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1050,RidgeRover Mid Trail Shoes 249,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,1,75.31,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1057,PineRunner 4P Tent 256,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,1,369.15,37.0,18.1,0.0,open-meteo
2026-07-12,S004,P1061,FieldRunner Packable Jacket 260,Rocky Top Outfitters - Denver,Denver,CO,Mountain,flagship,39.7392,-104.9903,1,2,295.68,37.0,18.1,0.0,open-meteo
2026-07-12,S005,P1003,CreekRambler 2P Camp Chair 202,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,2,897.96,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1004,StormNomad Compact Cooler 203,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,1,104.41,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1009,PineRunner 4P Tent 208,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,3,328.5,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1010,VistaRover Deluxe Patio Heater 209,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,3,1657.29,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1011,BoulderRambler Rechargeable Flashlight 210,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,2,239.52,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1028,CloudNomad Compact Cooler 227,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,1,518.02,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1033,SummitRunner 4P Tent 232,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,1,189.46,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1034,RidgeRover Deluxe Patio Heater 233,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,2,287.06,41.3,25.8,5.1,open-meteo
2026-07-12,S005,P1039,HearthRambler Ultralight Camp Chair 238,Rocky Top Outfitters - Phoenix,Phoenix,AZ,Southwest,suburban,33.4484,-112.074,1,1,312.66,41.3,25.8,5.1,open-meteo
