order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260721-0001,2026-07-21,S007,P1048,1,56.22,20,in_store,Y
20260721-0002,2026-07-21,S006,P1075,4,132.18,20,ship_from_store,N
20260721-0003,2026-07-21,S007,P1075,1,148.7,10,ship_from_store,Y
20260721-0004,2026-07-21,S003,P1038,4,187.04,5,in_store,Y
20260721-0005,2026-07-21,S004,P1029,2,119.63,5,in_store,Y
20260721-0006,2026-07-21,S005,P1019,1,178.99,0,in_store,N
20260721-0007,2026-07-21,S005,P1078,3,139.03,5,in_store,Y
20260721-0008,2026-07-21,S003,P1071,3,143.3,0,in_store,Y
20260721-0009,2026-07-21,S004,P1035,4,132.96,10,pickup,N
20260721-0010,2026-07-21,S005,P1016,3,634.09,0,in_store,Y
20260721-0011,2026-07-21,S007,P1073,1,125.32,0,pickup,N
20260721-0012,2026-07-21,S005,P1071,2,143.3,0,in_store,Y
20260721-0013,2026-07-21,S001,P1003,2,448.98,0,in_store,N
20260721-0014,2026-07-21,S004,P1021,1,66.37,10,in_store,Y
20260721-0015,2026-07-21,S004,P1051,1,360.53,15,ship_from_store,Y
20260721-0016,2026-07-21,S007,P1054,4,56.54,20,in_store,Y
20260721-0017,2026-07-21,S005,P1068,1,80.92,0,in_store,Y
20260721-0018,2026-07-21,S007,P1037,1,91.75,0,in_store,Y
20260721-0019,2026-07-21,S004,P1045,1,348.41,0,pickup,N
20260721-0020,2026-07-21,S001,P1008,3,166.72,5,in_store,N
20260721-0021,2026-07-21,S006,P1074,1,191.7,0,in_store,Y
20260721-0022,2026-07-21,S003,P1028,1,647.52,0,pickup,Y
20260721-0023,2026-07-21,S003,P1022,4,330.4,15,in_store,Y
20260721-0024,2026-07-21,S006,P1030,1,126.26,0,in_store,Y
20260721-0025,2026-07-21,S004,P1051,1,360.53,15,pickup,Y
20260721-0026,2026-07-21,S007,P1021,3,70.05,5,pickup,Y
20260721-0027,2026-07-21,S002,P1052,1,311.13,20,in_store,Y
20260721-0028,2026-07-21,S005,P1080,3,128.7,10,pickup,Y
20260721-0029,2026-07-21,S002,P1026,1,104.32,20,ship_from_store,Y
20260721-0030,2026-07-21,S002,P1057,4,369.15,10,pickup,Y
20260721-0031,2026-07-21,S006,P1013,2,87.65,10,ship_from_store,Y
20260721-0032,2026-07-21,S003,P1011,4,133.07,0,ship_from_store,N
20260721-0033,2026-07-21,S003,P1013,4,82.78,15,in_store,N
20260721-0034,2026-07-21,S008,P1068,1,80.92,0,ship_from_store,Y
20260721-0035,2026-07-21,S001,P1058,1,263.59,0,ship_from_store,Y
20260721-0036,2026-07-21,S003,P1048,3,70.28,0,ship_from_store,Y
20260721-0037,2026-07-21,S006,P1078,1,146.35,0,in_store,Y
20260721-0038,2026-07-21,S001,P1043,1,241.0,0,ship_from_store,Y
20260721-0039,2026-07-21,S001,P1043,2,241.0,0,in_store,Y
20260721-0040,2026-07-21,S004,P1002,1,203.43,0,in_store,Y
20260721-0041,2026-07-21,S002,P1064,1,522.28,15,in_store,Y
20260721-0042,2026-07-21,S003,P1016,2,634.09,0,in_store,Y
