timestamp_utc,order_date,status,row_count,file_size_bytes,sha256,error_message,sort_date
2026-07-28 16:37:39.119646+00:00,2026-07-12,success,104.0,6375.0,de84c9cecf40cdc6b9cac3bb5c42a3a0c3d4b53a09091e68baac07804b00985c,,2026-07-12
2026-08-04T23:53:52.104351+00:00,2026-07-12,success,104,6270,5399fe4c6c2282725c7bd4d61ab69a51513160cf6a4ad223d6b41a7e5b3375fa,,2026-07-12
2026-08-04T23:53:52.105795+00:00,2026-07-14,success,128,7664,0921d693b62bbe2ba21b709b18a93606ccf0089246274c25a261765c913c1454,,2026-07-14
2026-08-04T23:53:52.106426+00:00,2026-07-15,success,134,8022,ba86842bff4cdbc2d7f02842b15cf48fb1ef016fc07f0251e22bed66742fcde8,,2026-07-15
2026-08-04T23:53:52.106970+00:00,2026-07-16,success,112,6648,17288137b0a4747c7e52262df205b9251dce08ec804a31eeaa1cecbf2ead2f49,,2026-07-16
2026-08-04T23:53:52.107535+00:00,2026-07-17,success,105,6311,25dad72fc042f20ba2138613cbd2c40b5bfc28357ff4a47bfec640a461293ef2,,2026-07-17
2026-08-04T23:53:52.108046+00:00,2026-07-18,success,106,6331,77487157775fcadfb43da539a788619043ecba151e0b2dcae65bf77b506e7112,,2026-07-18
2026-07-28 16:37:39.121345+00:00,2026-07-19,success,167.0,10154.0,2b4736cc42bed4cddadb9c21bb6dae1fc8eb31c2ec20118a8af52fb2845f2245,,2026-07-19
2026-08-04T23:53:52.108553+00:00,2026-07-19,success,167,9986,684f0a70cb617222a2c9cbf520e704727b777aa8bbb70b9c812ab540add37b39,,2026-07-19
2026-07-28 16:37:39.122831+00:00,2026-07-20,success,144.0,8727.0,da97a8412602c33b6291473576f06b3463548b3e60d9eef8f2a7b2149cfcfc48,,2026-07-20
2026-07-28 16:37:39.124671+00:00,2026-07-21,success,91.0,5606.0,215c56d5514b24443613ae8b30db1aa27aac06214f1c12a03a85f0ff47da7078,,2026-07-21
2026-07-28 16:37:39.126135+00:00,2026-07-22,success,162.0,9849.0,3eaa72095265f83ea045ec88c1ecdf54dbb7c16cf1253adecabc5ed50e27b9c5,,2026-07-22
2026-07-28 16:37:39.127824+00:00,2026-07-23,success,140.0,8566.0,ebea094065d1da0fe7ca3652ff29d658a04e0c2bdeec84901805a8df2f7af759,,2026-07-23
2026-07-26 21:03:58.383465+00:00,,failure,,,,"Could not download orders file: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>",2026-07-26
