order_id,order_date,store_id,new_product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260819-0001,2026-08-19,S005,NP5033,3,178.22,5,ship_from_store,Y
20260819-0002,2026-08-19,S006,NP5020,2,207.39,0,in_store,Y
20260819-0003,2026-08-19,S002,NP5003,4,397.47,10,ship_from_store,Y
20260819-0004,2026-08-19,S003,NP5001,2,129.77,0,in_store,Y
20260819-0005,2026-08-19,S004,NP5063,2,61.78,20,in_store,Y
20260819-0006,2026-08-19,S008,NP5016,1,551.37,15,in_store,Y
20260819-0007,2026-08-19,S007,NP5039,3,340.47,5,in_store,N
20260819-0008,2026-08-19,S004,NP5001,2,129.77,0,ship_from_store,Y
20260819-0009,2026-08-19,S004,NP5023,3,144.84,0,in_store,Y
20260819-0010,2026-08-19,S005,NP5016,1,648.67,0,in_store,N
20260819-0011,2026-08-19,S003,NP5055,3,279.48,0,ship_from_store,Y
20260819-0012,2026-08-19,S006,NP5036,1,132.98,15,ship_from_store,N
20260819-0013,2026-08-19,S008,NP5053,2,94.97,15,ship_from_store,Y
20260819-0014,2026-08-19,S004,NP5052,1,378.16,0,in_store,Y
20260819-0015,2026-08-19,S004,NP5013,3,94.46,5,ship_from_store,Y
20260819-0016,2026-08-19,S002,NP5045,2,343.55,0,in_store,Y
20260819-0017,2026-08-19,S003,NP5065,1,107.67,0,in_store,Y
20260819-0018,2026-08-19,S005,NP5033,1,187.6,0,in_store,Y
20260819-0019,2026-08-19,S003,NP5003,4,397.47,10,in_store,Y
20260819-0020,2026-08-19,S001,NP5007,1,92.73,15,ship_from_store,Y
20260819-0021,2026-08-19,S002,NP5035,1,144.26,0,in_store,Y
20260819-0022,2026-08-19,S004,NP5070,4,136.05,5,in_store,Y
20260819-0023,2026-08-19,S001,NP5016,2,583.8,10,in_store,Y
20260819-0024,2026-08-19,S006,NP5039,2,304.63,15,in_store,Y
20260819-0025,2026-08-19,S001,NP5036,1,156.45,0,ship_from_store,Y
20260819-0026,2026-08-19,S002,NP5013,2,99.43,0,in_store,Y
20260819-0027,2026-08-19,S008,NP5001,3,116.79,10,ship_from_store,Y
20260819-0028,2026-08-19,S008,NP5003,1,353.3,20,in_store,N
20260819-0029,2026-08-19,S008,NP5072,2,755.47,5,ship_from_store,Y
20260819-0030,2026-08-19,S005,NP5062,1,146.96,10,in_store,N
20260819-0031,2026-08-19,S008,NP5066,1,90.88,10,in_store,Y
20260819-0032,2026-08-19,S004,NP5051,4,364.67,15,in_store,Y
20260819-0033,2026-08-19,S006,NP5058,3,287.12,0,pickup,N
20260819-0034,2026-08-19,S001,NP5046,4,194.57,15,in_store,N
20260819-0035,2026-08-19,S004,NP5027,2,93.13,0,ship_from_store,Y
20260819-0036,2026-08-19,S005,NP5022,4,387.51,0,in_store,Y
20260819-0037,2026-08-19,S005,NP5026,2,128.7,0,pickup,N
20260819-0038,2026-08-19,S006,NP5065,3,86.14,20,in_store,Y
20260819-0039,2026-08-19,S002,NP5056,2,133.91,10,ship_from_store,Y
20260819-0040,2026-08-19,S007,NP5050,1,70.72,5,in_store,Y
20260819-0041,2026-08-19,S001,NP5056,3,148.79,0,ship_from_store,N
20260819-0042,2026-08-19,S008,NP5002,3,205.57,0,pickup,Y
20260819-0043,2026-08-19,S002,NP5014,1,212.08,0,ship_from_store,Y
20260819-0044,2026-08-19,S007,NP5012,2,120.05,0,in_store,Y
20260819-0045,2026-08-19,S007,NP5004,2,108.96,0,pickup,Y
20260819-0046,2026-08-19,S001,NP5055,2,279.48,0,pickup,Y
20260819-0047,2026-08-19,S006,NP5075,1,274.77,0,in_store,Y
20260819-0048,2026-08-19,S003,NP5069,1,188.06,15,in_store,N
20260819-0049,2026-08-19,S006,NP5018,3,135.15,10,in_store,Y
20260819-0050,2026-08-19,S002,NP5018,1,135.15,10,in_store,Y
20260819-0051,2026-08-19,S008,NP5019,1,152.94,15,in_store,Y
20260819-0052,2026-08-19,S002,NP5017,4,63.28,0,in_store,Y
20260819-0053,2026-08-19,S005,NP5040,1,86.02,20,in_store,Y
20260819-0054,2026-08-19,S003,NP5054,2,72.66,0,in_store,N
20260819-0055,2026-08-19,S004,NP5035,1,115.41,20,in_store,Y
20260819-0056,2026-08-19,S002,NP5019,1,143.94,20,ship_from_store,Y
20260819-0057,2026-08-19,S003,NP5003,2,419.55,5,in_store,N
20260819-0058,2026-08-19,S002,NP5046,1,228.91,0,in_store,Y
20260819-0059,2026-08-19,S001,NP5013,2,99.43,0,in_store,N
20260819-0060,2026-08-19,S001,NP5003,1,375.39,15,ship_from_store,Y
20260819-0061,2026-08-19,S004,NP5050,1,74.44,0,in_store,Y
20260819-0062,2026-08-19,S002,NP5072,1,755.47,5,pickup,Y
20260819-0063,2026-08-19,S003,NP5040,2,86.02,20,in_store,Y
20260819-0064,2026-08-19,S001,NP5037,2,84.91,5,in_store,N
20260819-0065,2026-08-19,S002,NP5048,1,69.06,5,in_store,Y
20260819-0066,2026-08-19,S005,NP5059,3,103.46,5,in_store,N
20260819-0067,2026-08-19,S003,NP5035,1,144.26,0,in_store,N
20260819-0068,2026-08-19,S008,NP5074,3,130.96,20,ship_from_store,Y
20260819-0069,2026-08-19,S002,NP5040,2,107.52,0,in_store,Y
20260819-0070,2026-08-19,S001,NP5005,2,106.75,5,ship_from_store,Y
20260819-0071,2026-08-19,S002,NP5043,2,201.8,15,in_store,Y
20260819-0072,2026-08-19,S008,NP5019,1,179.93,0,in_store,Y
20260819-0073,2026-08-19,S003,NP5035,1,137.05,5,in_store,Y
20260819-0074,2026-08-19,S006,NP5057,3,399.61,0,ship_from_store,Y
20260819-0075,2026-08-19,S003,NP5065,2,107.67,0,in_store,Y
20260819-0076,2026-08-19,S006,NP5009,2,118.72,0,in_store,Y
20260819-0077,2026-08-19,S008,NP5004,1,98.06,10,in_store,Y
20260819-0078,2026-08-19,S007,NP5056,4,148.79,0,pickup,Y
20260819-0079,2026-08-19,S004,NP5014,2,212.08,0,in_store,Y
20260819-0080,2026-08-19,S007,NP5002,1,205.57,0,pickup,Y
20260819-0081,2026-08-19,S003,NP5054,4,72.66,0,in_store,Y
20260819-0082,2026-08-19,S004,NP5053,1,94.97,15,in_store,Y
20260819-0083,2026-08-19,S003,NP5016,1,518.94,20,in_store,Y
20260819-0084,2026-08-19,S008,NP5007,2,109.09,0,in_store,Y
20260819-0085,2026-08-19,S002,NP5071,1,220.05,0,in_store,Y
20260819-0086,2026-08-19,S001,NP5070,1,143.21,0,in_store,Y
20260819-0087,2026-08-19,S008,NP5060,2,166.65,0,ship_from_store,Y
20260819-0088,2026-08-19,S001,NP5069,4,177.0,20,ship_from_store,N
20260819-0089,2026-08-19,S008,NP5021,3,62.65,15,pickup,Y
20260819-0090,2026-08-19,S002,NP5059,3,92.57,15,in_store,N
20260819-0091,2026-08-19,S002,NP5041,1,45.51,15,ship_from_store,Y
20260819-0092,2026-08-19,S001,NP5026,4,128.7,0,ship_from_store,Y
20260819-0093,2026-08-19,S005,NP5061,1,154.19,0,pickup,Y
20260819-0094,2026-08-19,S006,NP5067,1,198.05,20,ship_from_store,Y
20260819-0095,2026-08-19,S003,NP5056,1,148.79,0,in_store,Y
20260819-0096,2026-08-19,S008,NP5014,4,212.08,0,in_store,Y
20260819-0097,2026-08-19,S007,NP5029,2,122.43,0,in_store,Y
20260819-0098,2026-08-19,S004,NP5054,4,65.39,10,pickup,N
20260819-0099,2026-08-19,S004,NP5039,1,322.55,10,in_store,Y
20260819-0100,2026-08-19,S003,NP5064,2,557.33,15,ship_from_store,N
20260819-0101,2026-08-19,S003,NP5067,1,247.56,0,in_store,Y
20260819-0102,2026-08-19,S003,NP5058,1,272.76,5,ship_from_store,N
20260819-0103,2026-08-19,S004,NP5049,1,212.27,5,in_store,N
20260819-0104,2026-08-19,S002,NP5033,1,187.6,0,in_store,N
20260819-0105,2026-08-19,S008,NP5004,1,92.62,15,in_store,N
20260819-0106,2026-08-19,S001,NP5050,4,67.0,10,in_store,Y
20260819-0107,2026-08-19,S006,NP5003,4,419.55,5,in_store,Y
20260819-0108,2026-08-19,S004,NP5039,1,340.47,5,in_store,Y
20260819-0109,2026-08-19,S004,NP5069,2,177.0,20,in_store,Y
20260819-0110,2026-08-19,S007,NP5051,1,429.02,0,in_store,Y
20260819-0111,2026-08-19,S008,NP5059,4,103.46,5,in_store,Y
20260819-0112,2026-08-19,S004,NP5013,1,99.43,0,in_store,Y
20260819-0113,2026-08-19,S008,NP5068,2,69.05,20,in_store,N
20260819-0114,2026-08-19,S001,NP5044,1,193.76,0,in_store,Y
20260819-0115,2026-08-19,S007,NP5021,4,73.7,0,in_store,Y
20260819-0116,2026-08-19,S008,NP5038,1,178.36,10,in_store,N
20260819-0117,2026-08-19,S004,NP5037,2,89.38,0,in_store,N
20260819-0118,2026-08-19,S002,NP5068,2,86.31,0,ship_from_store,N
20260819-0119,2026-08-19,S006,NP5057,3,319.69,20,in_store,Y
20260819-0120,2026-08-19,S003,NP5008,1,175.19,0,in_store,N
20260819-0121,2026-08-19,S006,NP5022,1,387.51,0,in_store,N
20260819-0122,2026-08-19,S001,NP5022,4,387.51,0,in_store,Y
20260819-0123,2026-08-19,S003,NP5035,2,144.26,0,ship_from_store,N
20260819-0124,2026-08-19,S003,NP5003,1,419.55,5,in_store,Y
20260819-0125,2026-08-19,S001,NP5073,2,91.38,0,ship_from_store,N
20260819-0126,2026-08-19,S003,NP5049,3,212.27,5,in_store,N
20260819-0127,2026-08-19,S003,NP5026,2,115.83,10,pickup,Y
20260819-0128,2026-08-19,S004,NP5071,3,209.05,5,in_store,N
20260819-0129,2026-08-19,S003,NP5065,1,96.9,10,pickup,N
20260819-0130,2026-08-19,S004,NP5063,1,65.64,15,in_store,N
20260819-0131,2026-08-19,S006,NP5007,1,109.09,0,in_store,Y
20260819-0132,2026-08-19,S007,NP5059,4,92.57,15,in_store,N
20260819-0133,2026-08-19,S008,NP5016,1,518.94,20,in_store,Y
20260819-0134,2026-08-19,S007,NP5070,1,143.21,0,ship_from_store,N
20260819-0135,2026-08-19,S003,NP5017,4,50.62,20,ship_from_store,N
20260819-0136,2026-08-19,S006,NP5002,4,195.29,5,pickup,Y
20260819-0137,2026-08-19,S004,NP5014,2,212.08,0,in_store,Y
20260819-0138,2026-08-19,S008,NP5048,2,65.43,10,ship_from_store,N
20260819-0139,2026-08-19,S006,NP5051,1,429.02,0,ship_from_store,N
20260819-0140,2026-08-19,S006,NP5042,4,95.51,15,ship_from_store,N
20260819-0141,2026-08-19,S007,NP5015,1,152.59,20,pickup,Y
20260819-0142,2026-08-19,S007,NP5034,3,151.8,10,in_store,Y
