order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member
20260714-0001,2026-07-14,S004,P1058,3,210.87,20,in_store,Y
20260714-0002,2026-07-14,S008,P1075,3,165.22,0,ship_from_store,Y
20260714-0003,2026-07-14,S003,P1063,3,79.92,0,ship_from_store,Y
20260714-0004,2026-07-14,S007,P1064,1,614.45,0,ship_from_store,Y
20260714-0005,2026-07-14,S004,P1029,2,125.93,0,in_store,Y
20260714-0006,2026-07-14,S003,P1078,1,146.35,0,in_store,Y
20260714-0007,2026-07-14,S004,P1061,2,118.27,20,ship_from_store,Y
20260714-0008,2026-07-14,S001,P1074,2,191.7,0,in_store,Y
20260714-0009,2026-07-14,S003,P1080,1,121.55,15,ship_from_store,Y
20260714-0010,2026-07-14,S008,P1042,1,103.73,10,in_store,N
20260714-0011,2026-07-14,S003,P1026,2,130.4,0,ship_from_store,N
20260714-0012,2026-07-14,S003,P1053,2,108.53,0,pickup,Y
20260714-0013,2026-07-14,S002,P1009,1,97.97,15,ship_from_store,Y
20260714-0014,2026-07-14,S002,P1047,1,48.36,15,in_store,Y
20260714-0015,2026-07-14,S006,P1031,1,156.18,10,in_store,N
20260714-0016,2026-07-14,S006,P1061,1,140.45,5,pickup,N
20260714-0017,2026-07-14,S005,P1079,1,217.78,15,pickup,Y
20260714-0018,2026-07-14,S003,P1064,1,614.45,0,in_store,Y
20260714-0019,2026-07-14,S007,P1058,2,263.59,0,in_store,Y
20260714-0020,2026-07-14,S004,P1024,4,90.59,0,in_store,N
20260714-0021,2026-07-14,S005,P1051,1,402.94,5,in_store,N
20260714-0022,2026-07-14,S002,P1003,1,448.98,0,pickup,N
20260714-0023,2026-07-14,S001,P1044,2,179.79,5,in_store,N
20260714-0024,2026-07-14,S007,P1058,1,263.59,0,in_store,Y
20260714-0025,2026-07-14,S002,P1008,2,149.17,15,in_store,Y
20260714-0026,2026-07-14,S007,P1061,2,133.06,10,ship_from_store,N
20260714-0027,2026-07-14,S001,P1052,4,350.02,10,in_store,N
20260714-0028,2026-07-14,S001,P1019,1,178.99,0,pickup,Y
20260714-0029,2026-07-14,S006,P1072,3,107.43,20,in_store,Y
20260714-0030,2026-07-14,S006,P1027,3,82.83,10,in_store,Y
20260714-0031,2026-07-14,S002,P1053,2,108.53,0,in_store,Y
20260714-0032,2026-07-14,S006,P1003,1,448.98,0,in_store,N
20260714-0033,2026-07-14,S001,P1027,1,92.03,0,pickup,N
20260714-0034,2026-07-14,S005,P1055,1,222.06,20,ship_from_store,N
20260714-0035,2026-07-14,S008,P1054,1,67.15,5,ship_from_store,N
20260714-0036,2026-07-14,S007,P1008,2,175.5,0,in_store,Y
20260714-0037,2026-07-14,S003,P1038,3,177.19,10,in_store,Y
20260714-0038,2026-07-14,S004,P1061,2,140.45,5,in_store,Y
20260714-0039,2026-07-14,S001,P1036,2,149.83,5,in_store,Y
20260714-0040,2026-07-14,S006,P1042,2,115.25,0,in_store,Y
20260714-0041,2026-07-14,S003,P1076,1,617.47,10,in_store,Y
20260714-0042,2026-07-14,S006,P1054,2,56.54,20,in_store,Y
20260714-0043,2026-07-14,S002,P1076,1,617.47,10,in_store,Y
20260714-0044,2026-07-14,S008,P1006,1,53.11,5,in_store,Y
20260714-0045,2026-07-14,S004,P1013,4,97.39,0,ship_from_store,Y
20260714-0046,2026-07-14,S004,P1046,1,233.42,0,pickup,Y
20260714-0047,2026-07-14,S001,P1060,4,154.39,0,pickup,Y
20260714-0048,2026-07-14,S007,P1071,1,136.13,5,pickup,N
20260714-0049,2026-07-14,S002,P1010,1,552.43,0,in_store,N
20260714-0050,2026-07-14,S001,P1003,1,381.63,15,in_store,Y
20260714-0051,2026-07-14,S008,P1069,1,256.36,0,ship_from_store,Y
20260714-0052,2026-07-14,S002,P1039,4,331.06,10,in_store,Y
20260714-0053,2026-07-14,S001,P1044,1,179.79,5,in_store,Y
20260714-0054,2026-07-14,S001,P1012,1,105.11,15,in_store,N
20260714-0055,2026-07-14,S005,P1076,1,686.08,0,in_store,Y
20260714-0056,2026-07-14,S001,P1042,4,103.73,10,in_store,N
20260714-0057,2026-07-14,S004,P1073,3,112.79,10,ship_from_store,Y
20260714-0058,2026-07-14,S004,P1033,1,151.57,20,in_store,Y
20260714-0059,2026-07-14,S003,P1045,4,348.41,0,pickup,N
20260714-0060,2026-07-14,S005,P1076,1,686.08,0,pickup,Y
20260714-0061,2026-07-14,S008,P1028,3,615.14,5,in_store,N
20260714-0062,2026-07-14,S008,P1039,4,349.45,5,pickup,Y
20260714-0063,2026-07-14,S006,P1015,2,163.09,15,in_store,Y
20260714-0064,2026-07-14,S006,P1004,4,104.41,5,in_store,Y
